X,Y,objectid,facility_name,facility_type,licensee,address,city,state,island,phone,license_num,license_exp,males,females,capacity,amb_type,wheelchair_appr,diet_type
-157.917866332603,21.3463587418611,109,D-Well Care Services,Type I Expanded Adult Residential Care Home,Maria Dingle,3443 Likini Street,Honolulu,Hawaii,Oahu,8083911433,1578-C,2022/05/31 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-155.982909409718,19.675376497424,110,E & J Adult Residential Care Home,Type I Expanded Adult Residential Care Home,Evangeline Reyes,74-797 Ulua'oa Street,Kailua-Kona,Hawaii,Big Island,8083341437,1442-C,2022/05/31 00:00:00+00,2,1,5,Ambulatory,Yes,Special
-157.854667195442,21.357014878423,111,E & R,Type I Expanded Adult Residential Care Home,Remedios Brion,3034 Kalihi Street,Honolulu,Hawaii,Oahu,8088426115,1185-C,2022/05/31 00:00:00+00,0,1,5,Ambulatory,Yes,Special
-157.670678159953,21.3031387613329,112,E. F. Nicomedes,Type I Expanded Adult Residential Care Home,Edna Nicomedes,1271 Kaeleku Street,Honolulu,Hawaii,Oahu,8083956410,1219-C,2022/05/31 00:00:00+00,2,2,5,Ambulatory,No,Special
-158.012130152634,21.3932442038994,113,E. Mabini ARCH,Type I Expanded Adult Residential Care Home,Eden Mabini,94-1083 Kuhaulua Street,Waipahu,Hawaii,Oahu,8086789549,1296-C,2022/05/31 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-157.938636350988,21.3940371688985,114,E. Ramos (ARCH),Type I  Adult Residential Care Home,Ramos Erlinda,98-063 Puaole Place,Aiea,Hawaii,Oahu,8084880878,1086-C,2022/02/28 00:00:00+00,0,2,5,Ambulatory,Yes,Special
-158.003800714851,21.3902353133649,115,Ed & Rose,Type I Expanded Adult Residential Care Home,Rosalinda Ramos,94-1112 Kahuailani Street,Waipahu,Hawaii,Oahu,8086769336,1384-C,2022/10/31 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-157.992689582736,21.4059525203583,116,Eden Lei's,Type I Expanded Adult Residential Care Home,Editha Galacgac,94-1095 Lumiaina Street,Waipahu,Hawaii,Oahu,8086777160,1405-C,2022/07/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-155.083412479953,19.6884548167925,117,Edita Castro,Type I Expanded Adult Residential Care Home,Edita Castro,201 Kuhilani Street,Hilo,Hawaii,Big Island,8089594976,1127-C,2022/06/30 00:00:00+00,0,1,4,Ambulatory,Yes,Special
-158.030150342068,21.3822774388901,118,"Editha Rogelio Tapat ARCH, LLC",Type I Expanded Adult Residential Care Home,Editha Tapat,94-432 Kipou Street,Waipahu,Hawaii,Oahu,8086717804,1486-C,2022/06/30 00:00:00+00,2,1,4,Ambulatory,Yes,Special
-155.099249686105,19.6757285469224,119,Elisa Cabal,Type I Expanded Adult Residential Care Home,Elisa Cabal,228 Hookano Street,Hilo,Hawaii,Big Island,8089812638,1326-C,2022/01/31 00:00:00+00,0,0,5,Ambulatory,Yes,Special
-155.045858481279,19.6122740010381,120,"Ellazar, Estela",Type I Expanded Adult Residential Care Home,Estella Ellazar,17-162 Ipuaiwaha Street,Keaau,Hawaii,Big Island,8089669264,653-C,2022/10/31 00:00:00+00,0,1,5,Ambulatory,Yes,Special
-157.995069393286,21.4065329927498,121,Emmanuel-Grace Care Home,Type I  Adult Residential Care Home,Glenda Mercado,94-882 Lumiholoi Street,Waipahu,Hawaii,Oahu,8084921284,1649-C,2022/03/31 00:00:00+00,,,5,,No,
-158.024588103164,21.383800460575,122,Emma-Rose Adult Residential Care Home,Type I  Adult Residential Care Home,Belma Unay,94-379 Haaa Street,Waipahu,Hawaii,Oahu,8086773015,1579-C,2022/05/31 00:00:00+00,5,5,5,Fully Ambulatory,Yes,Special
-158.010559231104,21.4411591880048,123,"Emmy's Care Home, LLC",Type I Expanded Adult Residential Care Home,Emalyn Esteban,94-382 Kaholo Street,Mililani,Hawaii,Oahu,8083768019,1404-C,2022/01/31 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-157.87337844906,21.3361121616043,124,Erlinda's,Type I Expanded Adult Residential Care Home,Erlinda Isidro,2020 Uhu Street,Honolulu,Hawaii,Oahu,8088427886,1390-C,2022/03/31 00:00:00+00,2,2,4,Ambulatory,Yes,Special
-157.994376627597,21.3947679175665,125,Espinoza's,Type I Expanded Adult Residential Care Home,Maria Espinoza,94-1273 Kahuanui Street,Waipahu,Hawaii,Oahu,8086767313,1274-C,2022/07/31 00:00:00+00,0,1,5,Ambulatory,Yes,Special
-158.113025947446,21.3424868146901,126,Estabillo Adult Residential Care Home,Type I Expanded Adult Residential Care Home,Mary Ann Estabillo,92-691 Paakai Street,Kapolei,Hawaii,Oahu,8086821002,1588-C,2022/05/31 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-158.007351692765,21.3954847318818,127,Esta's,Type I Expanded Adult Residential Care Home,Esta Lina,94-1110 Hinaea Street,Waipahu,Hawaii,Oahu,8086773607,598-C,2021/11/30 00:00:00+00,1,0,5,Ambulatory,Yes,Special
-157.016358760004,21.0918856048237,128,Estrelita Luczon,Type I  Adult Residential Care Home,Estrelita Luczon,249-A Ala Malama Avenue,Kaunakakai,Hawaii,Molokai,8085533077,1027-C,2021/11/30 00:00:00+00,0,0,5,Fully Ambulatory,No,Special
-158.014684094719,21.3224673551039,129,Evelyn Valdez,Type I Expanded Adult Residential Care Home,Evelyn Valdez,91-1129 Kiwi Street,Ewa Beach,Hawaii,Oahu,8086895997,978-C,2022/05/31 00:00:00+00,0,2,5,Ambulatory,Yes,Special
-158.010464177804,21.3902643684051,130,Evelyn's,Type I  Adult Residential Care Home,Evelyn Paco,94-824 Kumukula Street,Waipahu,Hawaii,Oahu,8086718725,1042-C,2022/10/31 00:00:00+00,2,2,5,Ambulatory,No,Special
-158.000441782445,21.3905579722754,131,Fabia ARCH EC,Type I Expanded Adult Residential Care Home,Kelsey Yamada,94-301 Hilihua Way,Waipahu,Hawaii,,,1644-C,2022/02/28 00:00:00+00,,,,,No,
-157.756892087719,21.2850808752585,132,Faith Harbor Adult Care,Type I Expanded Adult Residential Care Home,Yelena Munzlinger,5229 Liwai Street,Honolulu,Hawaii,Oahu,8083817880,1575-C,2022/07/31 00:00:00+00,5,1,5,Ambulatory,Yes,Special
-158.024446583732,21.3859324868637,133,Fajotina E-ARCH,Type I Expanded Adult Residential Care Home,Lilia Fajotina,94-438 Hoaeae Street,Waipahu,Hawaii,Oahu,8086767399,1209-C,2021/12/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.880898000103,21.3382080003461,134,Family Ties,Type I Expanded Adult Residential Care Home,Mary-Ann Bali,1103-A Kahauiki Place,Honolulu,Hawaii,Oahu,8088411674,1377-C,2022/06/30 00:00:00+00,0,0,5,Ambulatory,Yes,Special
-157.88074078292,21.3387968769239,135,Family Ties Adult Residential Care Home,Type I Expanded Adult Residential Care Home,Felizardo Bali,1119 Kahauiki Place,Honolulu,Hawaii,Oahu,8088438544,1481-C,2022/04/30 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-157.920470958263,21.3513654541938,136,"Felarca Care Home, LLC",Type I Expanded Adult Residential Care Home,Daniel Felarca,4679 Likini Street,Honolulu,Hawaii,Oahu,8088335630,1570-C,2022/10/31 00:00:00+00,3,3,5,Ambulatory,Yes,Special
-157.962789532618,21.4194579035884,137,Fely Irons' Adult Residential Care Home,Type I  Adult Residential Care Home,Fely Irons,2036 Komo Mai Drive,Pearl City,Hawaii,Oahu,8084557321,1497-C,2022/04/30 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-155.121657694274,19.7000708878449,138,"Fernandez, Carlina",Type I Expanded Adult Residential Care Home,Carlina Fernandez,137B Hokulani Street,Hilo,Hawaii,Big Island,8089645275,522-C,2022/06/30 00:00:00+00,0,0,5,Ambulatory,Yes,Special
-157.997528999635,21.3941069999594,139,Fernando Care Home,Type I  Adult Residential Care Home,Perlita Fernando,94-1351 Waipahu Street,Waipahu,Hawaii,Oahu,8086714912,619-C,2022/01/31 00:00:00+00,0,2,4,Ambulatory,No,Special
-157.86620793454,21.3427180685806,140,Ferrer,Type I Expanded Adult Residential Care Home,Erlinda Ferrer,1701 Elua Street,Honolulu,Hawaii,Oahu,8088459980,1307-C,2022/09/30 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-158.015778575295,21.3111208278667,141,Fidelibus Cottage,Type I Expanded Adult Residential Care Home,Dhy-Jeelen Fidelibus,91-827 Oama Street,Ewa Beach,Hawaii,Oahu,8086640947,1424-C,2022/03/31 00:00:00+00,4,4,5,Ambulatory,Yes,Special
-157.997564935935,21.3887420675518,142,"Fiesta, Floreliza C.",Type I Expanded Adult Residential Care Home,Floreliza Fiesta,94-232 Lehoula Place,Waipahu,Hawaii,Oahu,8088887012,1273-C,2022/07/31 00:00:00+00,0,1,5,Ambulatory,Yes,Special
-157.973755499968,21.4031699998505,143,Flojo Quality Affordable Care Home,Type I Expanded Adult Residential Care Home,Cecile Flojo,1159 Kuokoa Street,Pearl City,Hawaii,Oahu,8084552853,1293-C,2022/05/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-158.009543000184,21.3918454643208,144,"Fronda, Myrna",Type I Expanded Adult Residential Care Home,Myrna Fronda,94-571 Apii Place,Waipahu,Hawaii,Oahu,8086767858,1013-C,2021/12/31 00:00:00+00,0,1,5,Ambulatory,Yes,Special
-158.02645591119,21.512769589134,145,Fuji Japan Care Home LLC,Type I Expanded Adult Residential Care Home,Chieko Riccio,134 Hoopiha Place,Wahiawa,Hawaii,Oahu,8086225015,1573-C,2022/02/28 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-155.089888121762,19.6856906863221,146,G. Inocencio's,Type I  Adult Residential Care Home,Gloria Inocencio,1262 Komohana Street,Hilo,Hawaii,Big Island,8089595962,1282-C,2022/01/31 00:00:00+00,0,0,4,Ambulatory,No,Special
-157.997849730636,21.3834045629535,147,Gabriel Care Home,Type I Expanded Adult Residential Care Home,Juliet Gabriel,94-1034 Awanani Street,Waipahu,Hawaii,Oahu,8086770123,927-C,2022/03/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-155.097064938435,19.7841661069938,148,"Gabriel, Claire",Type I  Adult Residential Care Home,Claire Gabriel,27-358 Anderton Camp Road,Papaikou,Hawaii,Big Island,8089645268,962-C,2022/04/30 00:00:00+00,0,0,4,Ambulatory,No,Special
-155.065859811003,19.686030442323,149,"Gacula, Jessie",Type I  Adult Residential Care Home,Jessie Gacula,55 Ahona Place,Hilo,Hawaii,Big Island,8089810250,553-C,2022/06/30 00:00:00+00,0,0,5,Ambulatory,No,Special
-157.999528111745,21.3926467019422,150,"Galamgam, Crescencia",Type I  Adult Residential Care Home,Crescencia Galamgam,94-1278 Peke Place,Waipahu,Hawaii,Oahu,8086711847,895-C,2022/01/31 00:00:00+00,0,0,4,Fully Ambulatory,No,Special
-158.028262684304,21.3799780487704,151,Galan's Care Home,Type I Expanded Adult Residential Care Home,Juanita Galan,94-324 Kipou Street,Waipahu,Hawaii,Oahu,8086718337,1109-C,2022/07/31 00:00:00+00,0,2,5,Ambulatory,Yes,Special
-155.979691416541,19.6742799973891,152,Galanto's ARCH,Type I Expanded Adult Residential Care Home,Elsa Galanto,74-846 Uluaoa Street,Kailua-Kona,Hawaii,Big Island,8083262356,1228-C,2022/07/31 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-157.997861403912,21.3971337017066,153,"Galario, Violeta",Type I  Adult Residential Care Home,Violeta Galario,94-1440 Hiapo Street,Waipahu,Hawaii,Oahu,8088887753,878-C,2021/12/31 00:00:00+00,1,1,5,Ambulatory,No,Regular
-158.011126633432,21.3928990838461,154,Galario's Care Home,Type I Expanded Adult Residential Care Home,Elena Galario,94-929 Kuakahi Street,Waipahu,Hawaii,Oahu,8086775362,617-C,2022/09/30 00:00:00+00,2,2,5,Ambulatory,No,Special
-157.921127336739,21.3748783269498,155,Gamiao Adult Residential Care Home #2,Type I Expanded Adult Residential Care Home,Nayda Gamiao,99-588 Ulune Street,Aiea,Hawaii,Oahu,8084228018,1564-C,2022/05/31 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-157.921442938089,21.3482165432088,156,"Gamiao, Nayda",Type I Expanded Adult Residential Care Home,Nayda Gamiao,3648 Likini Street,Honolulu,Hawaii,Oahu,8084228018,1316-C,2022/07/31 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-157.919697000196,21.3763049996867,157,Garcia Care Home,Type I  Adult Residential Care Home,Fe Garcia,99-568 Huakanu Street,Aiea,Hawaii,Oahu,8084863872,971-C,2022/05/31 00:00:00+00,1,0,5,Ambulatory,No,Special
-157.835271620345,21.2934654387927,158,Gaylord's,Type I Expanded Adult Residential Care Home,Wannette Gaylord,1723 Malanai Street,Honolulu,Hawaii,Oahu,8082277173,1381-C,2022/09/30 00:00:00+00,1,0,5,Ambulatory,Yes,Special
-157.822690500005,21.2936669995819,159,Gaylord's II,Type I Expanded Adult Residential Care Home,Wannette Gaylord,1110 Kaialiu Street,Honolulu,Hawaii,Oahu,8082277173,1417-C,2022/01/31 00:00:00+00,0,1,5,Ambulatory,Yes,Special
-157.822767362043,21.2936029617771,160,Gaylord's III,Type I Expanded Adult Residential Care Home,Wannette Gaylord,2508 Coyne Street,Honolulu,Hawaii,Oahu,8082277173,1492-C,2022/10/31 00:00:00+00,5,5,6,Ambulatory,Yes,Special
-157.822353911396,21.2937667636118,161,Gaylord's IV,Type I Expanded Adult Residential Care Home,Wannette Gaylord,1116 Kaialiu Street,Honolulu,Hawaii,Oahu,8082277173,1586-C,2022/11/30 00:00:00+00,6,6,6,Ambulatory,Yes,Special
-157.823807797607,21.2957417368613,162,Gaylord's V,Type I Expanded Adult Residential Care Home,Wannette Gaylord,2423 Bingham Street,Honolulu,Hawaii,Oahu,8082277173,1651-C,2022/03/31 00:00:00+00,,,6,,No,
-157.885018663077,21.3723683956031,163,Gelacio Care Home,Type I Expanded Adult Residential Care Home,Zosima Gelacio,1746 Ala Aolani Place,Honolulu,Hawaii,Oahu,8088392520,458-C,2022/01/31 00:00:00+00,0,1,5,Ambulatory,Yes,Special
-157.924467000072,21.3649154828094,164,"Giovannie Senior Living, LLC",Type I Expanded Adult Residential Care Home,Giovannie Sibayan,1352 Molehu Place,Honolulu,Hawaii,Oahu,8084232355,1641-C,2022/01/31 00:00:00+00,,,5,,No,
-157.801504500144,21.2801759998862,165,"Gloria V. Atmospera, ARCH",Type I Expanded Adult Residential Care Home,Gloria Atmospera,3544 Pahoa Avenue,Honolulu,Hawaii,Oahu,8087348814,1202-C,2022/09/30 00:00:00+00,1,1,5,Ambulatory,No,Special
-157.796834795427,21.3983921334175,166,Golden Acres,Type I  Adult Residential Care Home,Miguel Pascual,45-525 Duncan Drive,Kaneohe,Hawaii,Oahu,8082357525,1480-C,2022/04/30 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-157.99399601448,21.4076021170717,167,Golden Age Health Care,Type I Expanded Adult Residential Care Home,Marieta Picard,94-1141 Lumiauau Street,Waipahu,Hawaii,Oahu,8086717760,1402-C,2022/06/30 00:00:00+00,1,0,5,Ambulatory,Yes,Special
-158.183976509688,21.4384552713059,168,Golden Island ARCH,Type I Expanded Adult Residential Care Home,Marlyn Acuram,86-120 Hoaha Street,Waianae,Hawaii,Oahu,8086966507,1312-C,2022/05/31 00:00:00+00,1,0,5,Ambulatory,Yes,Special
-158.004715839297,21.3922549183212,169,Golden Years Adult Residential Care Home,Type I Expanded Adult Residential Care Home,Elaine Viloria,94-480 Niulii Street,Waipahu,Hawaii,Oahu,8086781275,1562-C,2022/02/28 00:00:00+00,4,4,4,Ambulatory,Yes,Special
-157.997240072314,21.3896478388649,170,Grace Adult Residential Care Home,Type I Expanded Adult Residential Care Home,Chen-Yen Wang,94-1134 Kahuamo Street,Waipahu,Hawaii,,,1637-C,2021/12/31 00:00:00+00,,,4,,No,
-155.095025216327,19.7393879855618,171,"Guerrero, Miriam",Type I Expanded Adult Residential Care Home,Miriam Guerrero,66 Kaiwiki Road,Hilo,Hawaii,Big Island,8088960761,989-C,2022/05/31 00:00:00+00,0,0,5,Fully Ambulatory,No,Special
-157.807785531083,21.2791086981198,172,Gutierrez ARCH Inc,Type I Expanded Adult Residential Care Home,Ruby Gutierrez Brister,3374-A Maunaloa Avenue,Honolulu,Hawaii,Oahu,8083947402,1484-C,2021/12/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.913316985189,21.3812689229688,173,Halawa Care Home LLC,Type I Expanded Adult Residential Care Home,Marites Collado,99-626 Halawa Drive,Aiea,Hawaii,Oahu,8083728390,1532-C,2022/10/31 00:00:00+00,3,3,5,Ambulatory,Yes,Special
-157.86962550045,21.3371009997834,174,Hale Harmony,Type I Expanded Adult Residential Care Home,Tina Diaz,1631 Owawa Street,Honolulu,Hawaii,Oahu,8083866493,1354-C,2022/01/31 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-157.850230316012,21.3272406276925,175,Hale Kuike,Type II Expanded Adult Residential Care Home,Dorothy Colby,95 Kawananakoa Place,Honolulu,Hawaii,Oahu,8085956770,1348-C,2021/12/31 00:00:00+00,1,1,26,Ambulatory,Yes,Special
-157.786186499611,21.4053300000447,176,"Hale Ku'ike Bayside, LLC",Type II Expanded Adult Residential Care Home,Scott Gardiner,45-212 Kaneohe Bay Drive,Kaneohe,Hawaii,Oahu,8082356770,1506-C,2022/10/31 00:00:00+00,28,28,28,Ambulatory,Yes,Special
-157.843364670164,21.3312228380119,177,"Hale Kuike Pali, LLC",Type II Expanded Adult Residential Care Home,David Fitzgerald,2627 Pali Highway,Honolulu,Hawaii,Oahu,8085256770,1589-C,2022/06/30 00:00:00+00,28,28,28,Ambulatory,Yes,Special
-157.912906499681,21.3489449997967,178,Hale Lehua Carehome,Type I  Adult Residential Care Home,Romeo Valdez,984 Ala Lehua Street,Honolulu,Hawaii,Oahu,8086742563,1523-C,2022/01/31 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-157.910798841299,21.3495839703578,179,Hale Lilikoi,Type I  Adult Residential Care Home,Soo Yeon Phillips,1033 Ala Lilikoi Street,Honolulu,Hawaii,Oahu,8082232425,1597-C,2021/11/30 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-157.99715329917,21.3874713590444,180,Hale Malama,Type I Expanded Adult Residential Care Home,Leticia Dexter,94-1088 Farrington Highway,Waipahu,Hawaii,Oahu,8082005841,1577-C,2022/05/31 00:00:00+00,5,5,5,Ambulatory,Yes,Regular
-157.726026616956,21.2867821988635,181,Hale Malamalama Mauka,Type I  Adult Residential Care Home,Pauline Fukumura,246 Moomuku Place,Honolulu,Hawaii,Oahu,8083960537,1535-C,2022/08/31 00:00:00+00,5,5,5,Ambulatory,No,Special
-157.801977000225,21.2729850003293,182,Hale Mohalu,Type II Expanded Adult Residential Care Home,"Glenn M. Wasserman, M.D., M.P.H.",3650 Maunalei Avenue,Honolulu,Hawaii,Oahu,8087338080,1477-C,2022/03/31 00:00:00+00,0,0,14,Ambulatory,Yes,Special
-157.787734211171,21.298042192581,183,"Hale Nohea, L.L.C.",Type II Expanded Adult Residential Care Home,Patricia Mosher,5071 Maunalani Circle,Honolulu,Hawaii,Oahu,8087344680,1439-C,2022/07/31 00:00:00+00,1,1,8,Fully Ambulatory,Yes,Special
-157.852669500293,21.3297389995656,184,Hale O Meleana,Type II Expanded Adult Residential Care Home,Abbey Weerasinghe,2230 Liliha Street,Honolulu,Hawaii,Oahu,8082658554,1618-C,2021/11/30 00:00:00+00,110,110,110,Ambulatory,Yes,Special
-157.88937119676,21.370091742403,185,"Hale Olu Care Home, L.L.C.",Type I  Adult Residential Care Home,Sharlene Zaharis,1573 Ala Lani Street,Honolulu,Hawaii,Oahu,8082181098,1217-C,2022/04/30 00:00:00+00,0,1,2,Fully Ambulatory,No,Special
-157.748025818965,21.4076685527106,186,Hanami Care Home Kailua,Type I  Adult Residential Care Home,Won Joo,316 A Kalama Street,Kailua,Hawaii,Oahu,8084623480,1608-C,2022/05/31 00:00:00+00,5,5,5,Fully Ambulatory,No,Regular
-157.870326259441,21.3390279421129,187,Hanau Mua Connie's Home,Type I Expanded Adult Residential Care Home,Pamela Miyashiro,2010 Puaala Lane,Honolulu,Hawaii,Oahu,8082584973,1654-C,2022/04/30 00:00:00+00,,,5,,No,
-157.723513352679,21.2895559492669,188,Hawaii Kai ARCH,Type I Expanded Adult Residential Care Home,Belarmina Rol,308 Kuliouou Road,Honolulu,Hawaii,Oahu,8083964195,1482-C,2022/05/31 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-157.733007405088,21.2851472799214,189,Hawaii Loa Care Services LLC,Type I Expanded Adult Residential Care Home,Susan Halvorsen,272 Panio Street,Honolulu,Hawaii,Oahu,8087413240,1609-C,2022/05/31 00:00:00+00,5,5,5,Fully Ambulatory,No,Special
-158.002521504973,21.3916443952481,190,Heart To Heart Care Home,Type I  Adult Residential Care Home,Tracy Lockhart,94-384 Ana Lane,Waipahu,Hawaii,Oahu,8086360904,1544-C,2022/04/30 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-157.879903499765,21.3398460004431,191,Helen Y. Agbayani,Type I Expanded Adult Residential Care Home,Helen Agbayani,1328 Kamehameha IV Road,Honolulu,Hawaii,Oahu,8088438203,1345-C,2022/07/31 00:00:00+00,3,3,5,Ambulatory,Yes,Special
-158.109949959105,21.3403830571939,192,Hermelina Apuya,Type I Expanded Adult Residential Care Home,Hermelina Apuya,92-761 Paakai Street,Kapolei,Hawaii,Oahu,8086820642,1153-C,2022/01/31 00:00:00+00,1,0,5,Ambulatory,Yes,Special
-157.928512451925,21.388510212947,193,Hernani T. Valenzuela Aguilar ARCH/EC-ARCH,Type I Expanded Adult Residential Care Home,Hernani Valenzuela Aguilar,98-864 Kaamilo Street,Aiea,Hawaii,Oahu,8084869243,1530-C,2022/09/30 00:00:00+00,1,1,4,Ambulatory,Yes,Special
-157.796830162058,21.4159955842875,194,"Hokulaki Senior Living, L.L.C.",Type II Expanded Adult Residential Care Home,Myriam Tabaniag,45-217A William Henry Road,Kaneohe,Hawaii,Oahu,8082358388,1471-C,2022/01/31 00:00:00+00,0,1,8,Ambulatory,Yes,Special
-157.834969074923,21.4450121551916,195,Holy Family ARCH I,Type I Expanded Adult Residential Care Home,Virginia Guillermo,47-410 Ahuimanu Road,Kaneohe,Hawaii,Oahu,8082397993,472-C,2022/03/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.834969074923,21.4450121551916,196,Holy Family II,Type II Expanded Adult Residential Care Home,Virginia Guillermo,47-410 Ahuimanu Road,Kaneohe,Hawaii,Oahu,8082397993,538-C,2022/09/30 00:00:00+00,1,1,40,Ambulatory,Yes,Special
-157.804250540997,21.2883874803925,197,Home Away From Home,Type I  Adult Residential Care Home,Ema Arelliano,1321A Palolo Avenue,Honolulu,Hawaii,Oahu,8087390640,1278-C,2022/09/30 00:00:00+00,0,1,5,Fully Ambulatory,No,Special
-157.725824410959,21.2854128781635,198,Home Away From Home II Corporation,Type I  Adult Residential Care Home,Ema Arelliano,6020 Kalanianaole Highway,Honolulu,Hawaii,Oahu,8083123937,1549-C,2022/10/31 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-156.493620895035,20.9126280922941,199,Honesty,Type I  Adult Residential Care Home,Zenaida Valdez,775 Analio Street,Wailuku,Hawaii,Maui,8089860008,1236-C,2022/01/31 00:00:00+00,0,1,5,Ambulatory,No,Special
-157.807233048063,21.3968256401428,200,Hoomaluhia ARCH,Type I Expanded Adult Residential Care Home,Josephine Lesa,45-672 Luluku Road,Kaneohe,Hawaii,Oahu,,1629-C,2022/02/28 00:00:00+00,,,5,,No,Special
-155.67074620976,20.0228383579771,201,Hoonani Care Home,Type I  Adult Residential Care Home,Karyn Clay,65-1267B Lindsey Road,Kamuela,Hawaii,Big Island,8088966417,1538-C,2022/11/30 00:00:00+00,0,0,5,Ambulatory,Yes,Special
-158.162473394852,21.4520897694236,202,House of Aloha,Type I  Adult Residential Care Home,"Sister Lorlene Panaligan, O.P.",86-569 Paheehee Road,Waianae,Hawaii,Oahu,8086963021,1512-C,2022/05/31 00:00:00+00,3,3,5,Ambulatory,Yes,Special
-157.811707097468,21.3113129331845,203,"Huapala Senior Care A, LLC",Type II Expanded Adult Residential Care Home,Paul Dold,2649 A Huapala Street,Honolulu,Hawaii,Oahu,8089887505,1526-C,2022/03/31 00:00:00+00,2,2,8,Ambulatory,Yes,Special
-157.811707097468,21.3113129331845,204,"Huapala Senior Care B, LLC",Type II Expanded Adult Residential Care Home,Paul Dold,2649 B Huapala Street,Honolulu,Hawaii,Oahu,8089887394,1527-C,2022/03/31 00:00:00+00,8,8,8,Ambulatory,Yes,Special
-157.811707097468,21.3113129331845,205,"Huapala Senior Care C, LLC",Type II Expanded Adult Residential Care Home,Paul Dold,2649 C Huapala Street,Honolulu,Hawaii,Oahu,8089887505,1534-C,2022/07/31 00:00:00+00,8,8,8,Ambulatory,Yes,Special
-157.811707097468,21.3113129331845,206,"Huapala Senior Care D, LLC",Type II Expanded Adult Residential Care Home,Paul Dold,2649 D Huapala Street,Honolulu,Hawaii,Oahu,8089887505,1536-C,2022/08/31 00:00:00+00,8,8,8,Ambulatory,Yes,Special
-155.087237581861,19.6734806092377,207,"Ilar, Emelyn",Type I Expanded Adult Residential Care Home,Emelyn Ilar,1712 Keone Street,Hilo,Hawaii,Big Island,8089591247,1123-C,2021/11/30 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-158.176180351121,21.4242467408759,208,Imelda G. Arreola,Type I Expanded Adult Residential Care Home,Imelda Arreola,87-164 Kaukamana Street,Waianae,Hawaii,Oahu,8083580746,1224-C,2022/07/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-158.032206234998,21.680764931816,209,Indel's,Type I Expanded Adult Residential Care Home,Indelicia Brillante,58-109 Kaunala Street,Haleiwa,Hawaii,Oahu,8087229159,1016-C,2022/02/28 00:00:00+00,0,1,4,Ambulatory,Yes,Special
-155.095582862758,19.6807962045936,210,"Inocencio, Patricia",Type I  Adult Residential Care Home,Patricia Inocencio,1423 Mailani Street,Hilo,Hawaii,Big Island,8089594530,1043-C,2022/01/31 00:00:00+00,1,0,5,Ambulatory,No,Special
-156.512595466239,20.8896957627045,211,Irene Della Adult Residential Care Home,Type I  Adult Residential Care Home,Irene Della,189 Maika Street,Wailuku,Hawaii,Maui,8082984703,1518-C,2022/10/31 00:00:00+00,5,5,4,Ambulatory,No,Regular
-156.486431380342,20.8753646440365,212,Irenea B. Alipio,Type I  Adult Residential Care Home,Irenea Alipio,733 Iluna Place,Kahului,Hawaii,Maui,8088729770,1318-C,2021/12/31 00:00:00+00,2,2,3,Ambulatory,No,Regular
-155.123952012198,19.6981019382543,213,Island Care Home LLC,Type I Expanded Adult Residential Care Home,Hestia Yi Lee,151 Chong Street,Hilo,Hawaii,,8083158078,1632-C,2022/02/28 00:00:00+00,,,5,,No,
-158.087505488875,21.3723204402919,214,Island Living II ARCH/EARCH,Type I Expanded Adult Residential Care Home,Narcisa Jatico,92-1238 Umena Street,Kapolei,Hawaii,Oahu,8086727952,1446-C,2022/07/31 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-157.791805543852,21.2831579636267,215,Island Ohana Care,Type I  Adult Residential Care Home,Ninan Barnes,3846 Noeau Street,Honolulu,Hawaii,Oahu,8087375102,1600-C,2022/01/31 00:00:00+00,5,5,5,Ambulatory,Yes,Regular
-157.926645330598,21.3596598511577,216,Island Promise ARCH,Type I  Expanded Adult Residential Care Home,Anita Felipe,4330 Laakea Street,Honolulu,Hawaii,Oahu,8084280990,1615-C,2021/12/31 00:00:00+00,5,5,5,Ambulatory,Yes,Special
