OBJECTID_1,OBJECTID,permit_no,PROJTITLE,START_DATE,FINISH_DAT,STREET_NAM,PAVED_DATE,SHAPE_Length
1946,3252,09-0624-6300,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Mahinahou St,2013/12/26 00:00:00+00,0.000584064514981376
1947,3253,09-0598-6418,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Palm Dr,2013/01/28 00:00:00+00,0.00092898669971475
1948,3254,09-0598-6358,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Manalo St,2013/01/28 00:00:00+00,0.00082900222584092
1949,3255,14-0965-13595,"Rehabilitation of Localized Streets, Phase 15B (Nanakuli)",2016/04/12 00:00:00+00,2017/11/17 00:00:00+00,Waiea Pl,2017/03/10 00:00:00+00,0.00203773676251032
1950,3256,13-0562-13721,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Pakui St,2015/10/09 00:00:00+00,0.00130596060754325
1951,3257,13-0195-9978,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Nohili St,2015/08/19 00:00:00+00,0.00279280665094353
1952,3258,13-0194-10261,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Oilipuu Pl,2017/06/16 00:00:00+00,0.00148773442896955
1953,3259,13-0194-10321,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Waioli Pl,2015/03/17 00:00:00+00,0.00032814475739595
1954,3260,14-0965-13532,"Rehabilitation of Localized Streets, Phase 15B (Nanakuli)",2016/04/12 00:00:00+00,2017/11/17 00:00:00+00,Auyong Hmstd Rd,2016/10/20 00:00:00+00,0.00233391274069456
1955,3261,10-0464-13953,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #1,2016/03/07 00:00:00+00,2017/01/20 00:00:00+00,Apuu St,2016/06/14 00:00:00+00,0.00081752519330732
1956,3262,13-0959-12951,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Iosepa St,2015/11/24 00:00:00+00,0.00217346173429266
1957,3263,13-0193-10171,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kukuau Pl,2014/05/16 00:00:00+00,0.000473033154316229
1958,3264,11-0166-8257,"Rehabilitation of Streets, Unit 71 (Hawaii Kai)",2013/11/04 00:00:00+00,2014/10/02 00:00:00+00,Hawaii Kai Dr,2014/05/28 00:00:00+00,0.00163895297135189
1959,3265,08-0586-3687,"Rehabilitation of Streets, Unit 56 (Kailua Area)",2013/02/11 00:00:00+00,2018/12/18 00:00:00+00,Lekeona St,2013/08/31 00:00:00+00,0.00309051257695009
1960,3266,09-0598-6360,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Pawaa Ln,2013/01/28 00:00:00+00,0.000914674354330377
1961,3267,13-0195-9977,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Nawiliwili St,2016/01/08 00:00:00+00,0.000991527018580906
1962,3268,10-0402-10937,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kawahine Pl,2013/07/09 00:00:00+00,0.000672908434469459
1963,3269,09-0598-6407,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Kaheka St,2013/01/28 00:00:00+00,0.000742195547437923
1964,3270,10-0009-12555,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Kuahewa St,2013/03/11 00:00:00+00,0.00051578905278933
1965,3271,13-0342-11318,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Kahili St,2014/04/29 00:00:00+00,0.000821009268556463
1966,3272,14-0553-13030,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Apaki St,2015/06/12 00:00:00+00,0.000676863790679299
1967,3273,09-0771-12058,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Tenney St,2013/02/12 00:00:00+00,0.000645265731994708
1968,3274,10-0401-9658,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Makaimoimo St,2013/11/22 00:00:00+00,0.000644402305900952
1969,3275,13-0858-13750,"Rehabilitation of Localized Streets, Phase 14B (St Louis Heights )",2017/04/06 00:00:00+00,2018/04/05 00:00:00+00,Kaminaka Dr,2018/02/02 00:00:00+00,0.0090384263406392
1970,3276,09-0624-6248,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Kailiula Pl,2013/09/10 00:00:00+00,0.000304257056420184
1971,3277,10-0465-8150,"Rehabilitation of Localized Streets, Phase 6B (McCully/ Makiki/upper Makiki)",2012/03/27 00:00:00+00,2012/12/31 00:00:00+00,Liholiho St,2013/03/13 00:00:00+00,0.00355486940328023
1972,3278,10-0402-11051,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kalama St,2013/07/18 00:00:00+00,0.00409395335031446
1973,3279,14-0965-13567,"Rehabilitation of Localized Streets, Phase 15B (Nanakuli)",2016/04/12 00:00:00+00,2017/11/17 00:00:00+00,Maiaiholena Pl,2017/01/05 00:00:00+00,0.00152460231920128
1974,3280,10-0401-9666,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Naholoholo St,2013/10/18 00:00:00+00,0.000453417269030027
1975,3281,12-0014-9498,"Rehabilitation of Streets, Unit 78 (Mapunapuna Area)",2020/03/01 00:00:00+00,2021/03/19 00:00:00+00,Kaihikapu St,2021/02/12 00:00:00+00,0.0034206716813454
1976,3282,11-0169-10562,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Alahula Way,2013/07/01 00:00:00+00,0.000611711785348774
1977,3283,06-0577-12876,"Rehabilitation of Localized Streets, Phase 13B (Kaneohe Area: Kokokahi/Mahinui, Pikoiloa, Puohala Village and Waikalua)",2016/08/22 00:00:00+00,2017/06/02 00:00:00+00,Waikalua Pl,2017/06/26 00:00:00+00,0.0017716239465417
1978,3284,10-0402-11064,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Keaniani St,2013/07/25 00:00:00+00,0.00189791032133569
1979,3285,14-0556-12641,"Rehabilitation of Localized Streets, Phase 13G (Kaneohe Area: Kapunahala, Haiku Village, Heeia and Lilipuna)",2016/07/05 00:00:00+00,2019/03/13 00:00:00+00,Kuneki Way,2017/06/28 00:00:00+00,0.000837184037996871
1980,3286,09-0598-6406,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Kahakai Dr,2013/01/28 00:00:00+00,0.0015206082247764
1981,3287,13-0387-12624,"Rehabilitation of Localized Streets, Phase 13E (Kaneohe Area: Ahuimanu)",2015/07/13 00:00:00+00,2016/06/12 00:00:00+00,Okana Rd,2015/09/02 00:00:00+00,0.0047565420101208
1982,3288,14-0965-13535,"Rehabilitation of Localized Streets, Phase 15B (Nanakuli)",2016/04/12 00:00:00+00,2017/11/17 00:00:00+00,Haleakala Ave,2017/01/13 00:00:00+00,0.0209349582776045
1983,3289,09-0771-12070,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Kaunoa St,2014/02/20 00:00:00+00,0.00162790604276511
1984,3290,11-0011-10101,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Makalena St,2014/04/04 00:00:00+00,0.00247917947171022
1985,3291,10-0402-10918,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Ala Koa St,2013/07/03 00:00:00+00,0.00421044879160687
1986,3292,14-0553-13253,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Notley St,2015/05/11 00:00:00+00,0.000754129712511317
1987,3293,09-0624-6189,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Alapoai St,2013/09/19 00:00:00+00,0.000434160651173228
1988,3294,08-0586-3696,"Rehabilitation of Streets, Unit 56 (Kailua Area)",2013/02/11 00:00:00+00,2018/12/18 00:00:00+00,Onaona Pl,2013/05/01 00:00:00+00,0.000406513916772509
1989,3295,09-0598-6379,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Kamoku St,2013/01/28 00:00:00+00,0.000357582612966859
1990,3296,13-0342-11313,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Kaanua Pl,2014/04/03 00:00:00+00,0.000945869857509926
1991,3297,13-0194-10289,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Alakoko St,2015/04/10 00:00:00+00,0.00259031322414452
1992,3298,11-0169-10671,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Olive Ave,2013/09/26 00:00:00+00,0.000384100866724417
1993,3299,08-0587-8112,"Rehabilitation of Streets, Unit 57 (Kaimuki)",2012/07/02 00:00:00+00,2014/09/19 00:00:00+00,Claudine St,2013/03/12 00:00:00+00,0.000218867395472213
1994,3300,10-0009-12606,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Lehiwa Dr,2013/06/19 00:00:00+00,0.0017790201246354
1995,3301,10-0465-8167,"Rehabilitation of Localized Streets, Phase 6B (McCully/ Makiki/upper Makiki)",2012/03/27 00:00:00+00,2012/12/31 00:00:00+00,Punahou St,2013/04/22 00:00:00+00,0.000652029162296028
1996,3302,10-0352-8251,"Rehabilitation of Streets, Unit 66 (Oahu Ave, Kapahulu Ave, Atkinson Dr)",2014/06/09 00:00:00+00,2016/06/21 00:00:00+00,Atkinson Dr,2015/03/12 00:00:00+00,0.00135641324715474
1997,3303,11-0161-8248,"Rehabilitation of Streets, Unit 68 (Meheula Parkway and Anania Dr)",2014/01/06 00:00:00+00,2015/08/23 00:00:00+00,Anania Dr,2014/07/21 00:00:00+00,0.000675151133100629
1998,3304,10-0401-9576,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Hinalii Pl,2013/12/04 00:00:00+00,0.000762512179613223
1999,3305,08-0453-3616,"Rehabilitation of Streets, Unit 55 (Pearl City Area)",2013/03/18 00:00:00+00,2013/10/13 00:00:00+00,Nahele St,2013/09/04 00:00:00+00,0.000456504734292172
2000,3306,10-0402-11048,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kaipiha St,2013/06/14 00:00:00+00,0.00218471219803587
2001,3307,13-0959-12965,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Wahinepee St North,2015/09/25 00:00:00+00,0.000123725512272573
2002,3308,10-0009-12583,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Hololea St,2013/06/28 00:00:00+00,0.000459443297492967
2003,3309,12-0014-9497,"Rehabilitation of Streets, Unit 78 (Mapunapuna Area)",2020/03/01 00:00:00+00,2021/03/19 00:00:00+00,Awaawaloa St,2021/02/01 00:00:00+00,0.00249481304359136
2004,3310,10-0401-9612,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Kauanomeha Pl,2013/12/03 00:00:00+00,0.00135518265318232
2005,3311,11-0169-10642,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Maalo St,2013/09/26 00:00:00+00,0.00112972393166508
2006,3312,13-0342-11244,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Ulumanu Dr,2014/03/18 00:00:00+00,0.00102744607413206
2007,3313,11-0169-10639,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Loko Dr,2013/07/26 00:00:00+00,0.000290304196037013
2008,3314,10-0401-9600,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Kahela St,2013/10/08 00:00:00+00,0.000443611583336852
2009,3315,13-0562-13688,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Kaalani Pl,2015/10/26 00:00:00+00,0.000649249773744939
2010,3316,13-0194-10315,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Opaekaa St,2015/03/13 00:00:00+00,0.00282577517873374
2011,3318,11-0011-10085,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Halapepe St,2014/03/11 00:00:00+00,0.000557187888292721
2012,3319,08-0586-3693,"Rehabilitation of Streets, Unit 56 (Kailua Area)",2013/02/11 00:00:00+00,2018/12/18 00:00:00+00,Mowai St,2013/08/31 00:00:00+00,0.000643018555650694
2013,3320,13-0342-11357,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Wanaao Rd,2014/04/10 00:00:00+00,0.000963358229819354
2014,3321,09-0624-6191,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Ao Pl,2013/12/05 00:00:00+00,0.000431072894215688
2015,3322,11-0169-10663,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Nichols St,2013/07/11 00:00:00+00,0.00171856471246089
2016,3323,10-0401-9553,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Ahahui Pl,2013/12/19 00:00:00+00,0.00105676851982346
2017,3324,10-0401-9553,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Ahahui Pl,2013/12/19 00:00:00+00,0.0006874810020429
2018,3325,09-0624-6225,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Hokulewa Lp,2013/12/05 00:00:00+00,0.0033202714819555
2019,3326,13-0342-11264,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Akamai St,2014/05/06 00:00:00+00,0.000483954296894144
2020,3327,08-0453-3615,"Rehabilitation of Streets, Unit 55 (Pearl City Area)",2013/03/18 00:00:00+00,2013/10/13 00:00:00+00,Kaahele St,2013/08/15 00:00:00+00,0.000843894041145836
2021,3328,10-0401-9717,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Wekiu St,2013/11/25 00:00:00+00,0.00138296122340482
2022,3329,13-0342-11237,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Ulupuni St,2014/03/05 00:00:00+00,0.00073300343834038
2023,3330,10-0402-11030,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kaha St,2013/09/18 00:00:00+00,0.00108671184602589
2024,3331,09-0598-6387,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Mahiai Pl,2013/01/28 00:00:00+00,0.000793240118886061
2025,3332,13-0562-13697,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Keanu St,2015/10/08 00:00:00+00,0.00130239683647104
2026,3333,10-0402-11030,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kaha St,2013/09/18 00:00:00+00,0.000836452937387623
2027,3334,14-0553-13050,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Kapalama Ave,2015/07/09 00:00:00+00,0.000786077320016535
2028,3335,13-0959-13019,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Pukea Rd,2015/07/09 00:00:00+00,0.000920538110027478
2029,3336,13-0193-10187,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Puuomao Pl,2015/04/21 00:00:00+00,0.00129379223724232
2030,3337,14-0965-13580,"Rehabilitation of Localized Streets, Phase 15B (Nanakuli)",2016/04/12 00:00:00+00,2017/11/17 00:00:00+00,Naniahiahi Pl,2017/01/05 00:00:00+00,0.000941571279946018
2031,3338,10-0009-12580,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Haloku St,2013/06/26 00:00:00+00,0.00108519392235568
2032,3339,14-0553-13232,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Kalama Rd,2015/05/13 00:00:00+00,0.000546429373758591
2033,3340,13-0193-10224,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Makaa Pl,2014/05/29 00:00:00+00,0.000562545499503422
2034,3341,13-0342-11211,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Lunahaneli Pl,2014/02/12 00:00:00+00,0.000924663989842558
2035,3342,14-0553-13048,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Kamaka Ln,2015/07/28 00:00:00+00,0.000707645828282404
2036,3343,13-0342-11343,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Papalani St,2014/04/15 00:00:00+00,0.00067076565658018
2037,3344,13-0561-13486,"Rehabilitation of Localized Streets, Phase 15C (Maili)",2016/04/12 00:00:00+00,2017/04/11 00:00:00+00,Manuaihue St,2016/11/25 00:00:00+00,0.00549328626735576
2038,3345,08-0587-8111,"Rehabilitation of Streets, Unit 57 (Kaimuki)",2012/07/02 00:00:00+00,2014/09/19 00:00:00+00,Ekaha Ave,2013/03/12 00:00:00+00,0.000170624492552032
2039,3346,09-0598-6361,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Philip St,2013/01/28 00:00:00+00,0.000610330987780048
2040,3347,13-0561-13481,"Rehabilitation of Localized Streets, Phase 15C (Maili)",2016/04/12 00:00:00+00,2017/04/11 00:00:00+00,Maipela St,2016/11/04 00:00:00+00,0.00215399448283845
2041,3348,10-0401-9644,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Lelewalo St,2013/10/03 00:00:00+00,0.00133969049350925
2042,3349,11-0011-9996,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Aha Aina Pl,2014/07/22 00:00:00+00,0.000659531711749145
2043,3350,13-0193-10173,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kumukahi Pl,2015/03/18 00:00:00+00,0.00268845881172941
2044,3351,09-0598-6369,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Young St,2013/01/28 00:00:00+00,0.000875189028434903
2045,3352,10-0401-9629,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Kulua Pl,2013/10/09 00:00:00+00,0.000434470555162794
2046,3353,13-0562-13722,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Paliahina Pl,2015/10/14 00:00:00+00,0.00105015434052169
2047,3354,13-0195-9968,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Kukuiula Lp,2015/06/10 00:00:00+00,0.00165538835686686
2048,3355,11-0011-10081,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Alahee St,2014/03/17 00:00:00+00,0.00104427760437754
2049,3356,14-0965-13564,"Rehabilitation of Localized Streets, Phase 15B (Nanakuli)",2016/04/12 00:00:00+00,2017/11/17 00:00:00+00,Lepeka Ave,2016/11/10 00:00:00+00,0.00391224525906747
2050,3357,13-0342-11261,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Akalei Pl,2014/05/01 00:00:00+00,0.00043805662971955
2051,3358,13-0959-12936,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Leleuli St,2015/09/30 00:00:00+00,0.000317994224257648
2052,3359,14-0331-12720,"Rehabilitation of Localized Streets, Phase 13F (Kaneohe Area: Keapuka)",2016/03/07 00:00:00+00,2018/01/13 00:00:00+00,Mokulele Dr,2018/04/24 00:00:00+00,0.000536664078757855
2053,3360,04-1094-3656,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Kamilo St,2013/06/26 00:00:00+00,0.000803175260090533
2054,3361,10-0401-9701,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Waimakua Dr,2013/09/26 00:00:00+00,0.00090203633718951
2055,3362,12-0014-9496,"Rehabilitation of Streets, Unit 78 (Mapunapuna Area)",2020/03/01 00:00:00+00,2021/03/19 00:00:00+00,Ahua St,2021/04/08 00:00:00+00,0.00210960419119271
2056,3363,10-0352-8249,"Rehabilitation of Streets, Unit 66 (Oahu Ave, Kapahulu Ave, Atkinson Dr)",2014/06/09 00:00:00+00,2016/06/21 00:00:00+00,Kapahulu Ave,2016/02/23 00:00:00+00,0.000805452157281926
2057,3364,13-0562-13682,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Hoanoho Pl,2016/02/16 00:00:00+00,0.00102821053151168
2058,3366,14-0331-12727,"Rehabilitation of Localized Streets, Phase 13F (Kaneohe Area: Keapuka)",2016/03/07 00:00:00+00,2018/01/13 00:00:00+00,Pakualua Pl,2018/02/12 00:00:00+00,0.000380339718995863
2059,3367,08-0587-3709,"Rehabilitation of Streets, Unit 57 (Kaimuki)",2012/07/02 00:00:00+00,2014/09/19 00:00:00+00,Hoku Ave,2013/03/12 00:00:00+00,0.00213138884709473
2060,3368,13-0342-11321,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Kanapuu Dr,2014/04/10 00:00:00+00,0.00165220944053
2061,3369,13-0195-9947,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Hanamaulu St,2015/08/17 00:00:00+00,0.000850400195965298
2062,3370,09-0624-6251,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Kamaio St,2013/11/19 00:00:00+00,0.000640637818080666
